stp_id,farm_id,distance_km
STP_TVM,F_1000,133.0790
STP_TVM,F_1001,270.0762
STP_TVM,F_1002,99.1023
STP_TVM,F_1003,397.6589
STP_TVM,F_1004,119.5720
STP_TVM,F_1005,103.4512
STP_TVM,F_1006,105.7973
STP_TVM,F_1007,405.9722
STP_TVM,F_1008,52.0322
STP_TVM,F_1009,194.4559
STP_TVM,F_1010,356.7036
STP_TVM,F_1011,119.5535
STP_TVM,F_1012,386.1539
STP_TVM,F_1013,359.1879
STP_TVM,F_1014,306.5097
STP_TVM,F_1015,438.8502
STP_TVM,F_1016,362.2407
STP_TVM,F_1017,372.1841
STP_TVM,F_1018,213.2791
STP_TVM,F_1019,232.3833
STP_TVM,F_1020,78.1424
STP_TVM,F_1021,164.0309
STP_TVM,F_1022,395.6903
STP_TVM,F_1023,300.4776
STP_TVM,F_1024,219.6293
STP_TVM,F_1025,288.9900
STP_TVM,F_1026,384.0645
STP_TVM,F_1027,152.9410
STP_TVM,F_1028,342.4373
STP_TVM,F_1029,337.5114
STP_TVM,F_1030,356.8232
STP_TVM,F_1031,150.9054
STP_TVM,F_1032,92.7832
STP_TVM,F_1033,266.7429
STP_TVM,F_1034,91.9235
STP_TVM,F_1035,131.2380
STP_TVM,F_1036,95.0520
STP_TVM,F_1037,232.2861
STP_TVM,F_1038,427.3313
STP_TVM,F_1039,171.6973
STP_TVM,F_1040,115.8440
STP_TVM,F_1041,349.4330
STP_TVM,F_1042,376.5450
STP_TVM,F_1043,180.4901
STP_TVM,F_1044,422.3480
STP_TVM,F_1045,276.5586
STP_TVM,F_1046,39.0985
STP_TVM,F_1047,111.6525
STP_TVM,F_1048,110.8250
STP_TVM,F_1049,200.5453
STP_TVM,F_1050,213.4619
STP_TVM,F_1051,198.8900
STP_TVM,F_1052,232.2466
STP_TVM,F_1053,206.6774
STP_TVM,F_1054,60.9420
STP_TVM,F_1055,83.5099
STP_TVM,F_1056,235.2660
STP_TVM,F_1057,329.5676
STP_TVM,F_1058,321.3509
STP_TVM,F_1059,369.5118
STP_TVM,F_1060,385.0402
STP_TVM,F_1061,103.8990
STP_TVM,F_1062,409.9813
STP_TVM,F_1063,285.4821
STP_TVM,F_1064,54.6827
STP_TVM,F_1065,160.5392
STP_TVM,F_1066,186.0642
STP_TVM,F_1067,182.6943
STP_TVM,F_1068,114.2954
STP_TVM,F_1069,35.5677
STP_TVM,F_1070,41.7665
STP_TVM,F_1071,189.2329
STP_TVM,F_1072,158.1801
STP_TVM,F_1073,233.7579
STP_TVM,F_1074,285.5755
STP_TVM,F_1075,363.8024
STP_TVM,F_1076,413.0524
STP_TVM,F_1077,395.7972
STP_TVM,F_1078,322.8765
STP_TVM,F_1079,420.2398
STP_TVM,F_1080,99.8983
STP_TVM,F_1081,363.9679
STP_TVM,F_1082,351.7983
STP_TVM,F_1083,167.3755
STP_TVM,F_1084,262.3086
STP_TVM,F_1085,175.0960
STP_TVM,F_1086,171.3429
STP_TVM,F_1087,66.1150
STP_TVM,F_1088,24.1560
STP_TVM,F_1089,454.1353
STP_TVM,F_1090,386.4599
STP_TVM,F_1091,89.2229
STP_TVM,F_1092,344.2132
STP_TVM,F_1093,173.6361
STP_TVM,F_1094,67.7634
STP_TVM,F_1095,345.7933
STP_TVM,F_1096,338.1884
STP_TVM,F_1097,310.7136
STP_TVM,F_1098,149.1056
STP_TVM,F_1099,194.5088
STP_TVM,F_1100,252.6119
STP_TVM,F_1101,361.0150
STP_TVM,F_1102,173.2836
STP_TVM,F_1103,182.1655
STP_TVM,F_1104,299.0733
STP_TVM,F_1105,42.2437
STP_TVM,F_1106,76.2147
STP_TVM,F_1107,122.8658
STP_TVM,F_1108,263.2129
STP_TVM,F_1109,406.6815
STP_TVM,F_1110,78.2324
STP_TVM,F_1111,212.9183
STP_TVM,F_1112,236.8975
STP_TVM,F_1113,379.7704
STP_TVM,F_1114,225.6963
STP_TVM,F_1115,215.9980
STP_TVM,F_1116,70.1171
STP_TVM,F_1117,389.4228
STP_TVM,F_1118,99.3834
STP_TVM,F_1119,60.9448
STP_TVM,F_1120,396.8616
STP_TVM,F_1121,444.4059
STP_TVM,F_1122,415.7612
STP_TVM,F_1123,148.3443
STP_TVM,F_1124,348.8357
STP_TVM,F_1125,453.6863
STP_TVM,F_1126,240.1378
STP_TVM,F_1127,113.6536
STP_TVM,F_1128,431.0224
STP_TVM,F_1129,46.5782
STP_TVM,F_1130,242.0584
STP_TVM,F_1131,162.9174
STP_TVM,F_1132,363.4484
STP_TVM,F_1133,100.0760
STP_TVM,F_1134,87.5283
STP_TVM,F_1135,369.2097
STP_TVM,F_1136,396.0918
STP_TVM,F_1137,65.6727
STP_TVM,F_1138,244.4670
STP_TVM,F_1139,93.8681
STP_TVM,F_1140,227.4155
STP_TVM,F_1141,67.7160
STP_TVM,F_1142,440.3504
STP_TVM,F_1143,140.5855
STP_TVM,F_1144,168.9392
STP_TVM,F_1145,128.7024
STP_TVM,F_1146,162.9815
STP_TVM,F_1147,187.7594
STP_TVM,F_1148,438.8194
STP_TVM,F_1149,374.6818
STP_TVM,F_1150,111.1573
STP_TVM,F_1151,454.3475
STP_TVM,F_1152,453.0719
STP_TVM,F_1153,403.5646
STP_TVM,F_1154,172.0725
STP_TVM,F_1155,131.4414
STP_TVM,F_1156,21.9761
STP_TVM,F_1157,117.2714
STP_TVM,F_1158,200.5396
STP_TVM,F_1159,388.9800
STP_TVM,F_1160,369.8310
STP_TVM,F_1161,151.8468
STP_TVM,F_1162,105.6336
STP_TVM,F_1163,69.8589
STP_TVM,F_1164,20.0053
STP_TVM,F_1165,111.8023
STP_TVM,F_1166,448.7773
STP_TVM,F_1167,116.9135
STP_TVM,F_1168,254.2782
STP_TVM,F_1169,274.2463
STP_TVM,F_1170,113.9478
STP_TVM,F_1171,362.9082
STP_TVM,F_1172,225.3775
STP_TVM,F_1173,67.9384
STP_TVM,F_1174,373.9923
STP_TVM,F_1175,165.6038
STP_TVM,F_1176,52.6066
STP_TVM,F_1177,311.4755
STP_TVM,F_1178,98.1069
STP_TVM,F_1179,122.8986
STP_TVM,F_1180,82.5048
STP_TVM,F_1181,392.2848
STP_TVM,F_1182,128.6948
STP_TVM,F_1183,235.1284
STP_TVM,F_1184,138.4665
STP_TVM,F_1185,130.9629
STP_TVM,F_1186,420.1598
STP_TVM,F_1187,187.3203
STP_TVM,F_1188,165.6981
STP_TVM,F_1189,77.8492
STP_TVM,F_1190,327.1311
STP_TVM,F_1191,327.7322
STP_TVM,F_1192,395.9301
STP_TVM,F_1193,161.0672
STP_TVM,F_1194,55.7982
STP_TVM,F_1195,113.2812
STP_TVM,F_1196,176.9284
STP_TVM,F_1197,343.3742
STP_TVM,F_1198,140.8767
STP_TVM,F_1199,358.9229
STP_TVM,F_1200,421.4754
STP_TVM,F_1201,442.4789
STP_TVM,F_1202,209.4221
STP_TVM,F_1203,341.3817
STP_TVM,F_1204,371.1289
STP_TVM,F_1205,214.6815
STP_TVM,F_1206,298.3265
STP_TVM,F_1207,333.0861
STP_TVM,F_1208,170.0747
STP_TVM,F_1209,117.7241
STP_TVM,F_1210,133.7731
STP_TVM,F_1211,152.4776
STP_TVM,F_1212,285.3590
STP_TVM,F_1213,392.2972
STP_TVM,F_1214,294.3342
STP_TVM,F_1215,402.6532
STP_TVM,F_1216,53.4510
STP_TVM,F_1217,68.5276
STP_TVM,F_1218,244.7972
STP_TVM,F_1219,179.9841
STP_TVM,F_1220,313.0032
STP_TVM,F_1221,42.6405
STP_TVM,F_1222,91.3972
STP_TVM,F_1223,65.6993
STP_TVM,F_1224,151.8347
STP_TVM,F_1225,403.3176
STP_TVM,F_1226,289.4492
STP_TVM,F_1227,252.1583
STP_TVM,F_1228,312.8357
STP_TVM,F_1229,291.2047
STP_TVM,F_1230,367.4775
STP_TVM,F_1231,137.1023
STP_TVM,F_1232,363.1458
STP_TVM,F_1233,250.4685
STP_TVM,F_1234,220.5828
